hand,epsilon,ai1_win_rate,ai2_win_rate,ai1_avg_reward,ai2_avg_reward,ai1_loss,ai2_loss
2000,0.81872,51.05,51.1,-6.5,6.5,424827.82031,424563.41341
4000,0.67031,46.95,55.45,-23.5,23.5,442238.71462,441665.28842
6000,0.5488,46.3,56.0,-29.5,29.5,446381.29027,449275.64361
8000,0.44931,49.95,52.5,-15.79,15.79,467392.70308,469254.35756
10000,0.36786,51.65,51.0,4.86,-4.86,489685.89708,493114.03847
12000,0.30118,52.4,50.35,1.43,-1.43,512790.42975,518184.28117
14000,0.24658,50.5,52.65,-19.0,19.0,534545.64472,539528.8427
16000,0.20188,50.55,52.45,-15.48,15.48,559306.07631,566012.12686
18000,0.16528,51.55,51.55,-15.63,15.63,581340.48738,586808.6183
20000,0.13532,51.7,51.25,-9.89,9.89,601436.7315,605467.19441
22000,0.11079,50.7,52.95,-36.0,36.0,642348.93222,645253.60753
24000,0.09071,49.8,53.35,-9.07,9.07,676526.23481,681306.82222
26000,0.07426,50.9,52.6,8.57,-8.57,653156.87022,673610.067
28000,0.0608,54.5,50.05,19.5,-19.5,665724.83297,690373.51447
30000,0.05,50.8,52.2,-21.5,21.5,683911.92884,710911.56659
32000,0.05,52.05,51.95,35.0,-35.0,689828.95191,719705.99541
34000,0.05,51.95,52.65,60.0,-60.0,669006.13403,711646.48162
36000,0.05,50.3,53.15,49.85,-49.85,634883.45666,685957.06338
38000,0.05,46.9,56.4,46.55,-46.55,628441.89816,658248.2415
40000,0.05,41.2,61.2,51.27,-51.27,630299.95575,662881.43506
42000,0.05,41.95,61.1,131.84,-131.84,591319.97919,643090.34447
44000,0.05,59.5,42.05,12.19,-12.19,534241.27411,590018.15595
46000,0.05,56.1,45.5,-4.45,4.45,458922.20667,516458.32644
48000,0.05,57.2,43.45,9.39,-9.39,397910.79138,443107.15212
50000,0.05,56.6,44.5,7.87,-7.87,348090.15708,386159.60323
52000,0.05,57.25,44.2,8.81,-8.81,309755.84636,344504.13366
54000,0.05,58.3,42.85,-4.91,4.91,277088.3347,309060.44646
56000,0.05,60.2,40.4,0.03,-0.03,252496.39805,278878.30852
58000,0.05,58.4,42.35,0.57,-0.57,224741.95126,250254.64635
60000,0.05,59.75,40.9,-1.55,1.55,201022.06559,223915.2397
62000,0.05,59.75,41.0,-6.46,6.46,177522.89066,199657.4183
64000,0.05,55.55,45.15,-2.21,2.21,156541.86361,176574.77055
66000,0.05,55.1,45.3,2.19,-2.19,134896.38699,155332.12894
68000,0.05,51.8,48.25,2.34,-2.34,119312.4288,134452.73737
70000,0.05,55.15,45.15,-0.34,0.34,115893.56788,115218.24102
72000,0.05,53.45,46.7,2.02,-2.02,114834.00105,111089.33436
74000,0.05,53.85,46.35,-1.32,1.32,114059.22351,108792.08212
76000,0.05,53.1,47.25,0.34,-0.34,112445.91188,106235.31389
78000,0.05,53.15,47.15,-1.05,1.05,111549.01294,105633.39988
80000,0.05,53.65,46.55,-4.58,4.58,109139.82355,104342.16006
82000,0.05,51.35,48.95,0.66,-0.66,102971.7975,101059.46888
84000,0.05,50.85,49.5,3.32,-3.32,96495.6538,96095.89072
86000,0.05,51.6,48.7,0.28,-0.28,89266.02754,90101.09801
88000,0.05,52.45,47.8,-1.51,1.51,81964.49045,82943.2136
90000,0.05,50.35,49.95,1.36,-1.36,73321.07688,73888.42815
92000,0.05,51.2,49.3,-0.56,0.56,65211.50389,64686.91084
94000,0.05,51.95,48.2,1.43,-1.43,57910.84637,57451.98705
96000,0.05,53.15,47.0,1.16,-1.16,52370.26856,51667.73457
98000,0.05,52.9,47.35,0.3,-0.3,46401.41947,46009.24721
100000,0.05,51.3,48.95,-2.33,2.33,41503.96435,40382.32072
102000,0.05,52.1,48.3,-3.48,3.48,37672.52176,36425.51802
104000,0.05,52.4,47.8,0.63,-0.63,33640.06703,33041.39412
106000,0.05,50.55,49.6,2.02,-2.02,30504.69398,30063.09271
108000,0.05,50.85,49.25,2.49,-2.49,26895.377,27038.19417
110000,0.05,49.05,50.95,0.83,-0.83,24444.07351,24712.4937
112000,0.05,49.1,50.9,0.48,-0.48,22492.1804,23199.45651
114000,0.05,52.25,47.8,-1.73,1.73,20884.52227,21687.157
116000,0.05,50.55,49.55,-0.78,0.78,19217.91168,20339.50717
118000,0.05,49.2,50.95,1.02,-1.02,17637.04487,18828.66639
120000,0.05,48.5,51.6,0.66,-0.66,16773.1375,17723.01406
122000,0.05,50.25,49.85,1.41,-1.41,15215.62239,16770.23291
124000,0.05,51.35,48.8,-0.47,0.47,14594.97988,15877.09881
126000,0.05,49.5,50.85,-2.78,2.78,14199.85634,15614.879
128000,0.05,48.7,51.55,0.79,-0.79,14253.73667,15597.89371
130000,0.05,49.15,51.0,-2.09,2.09,14923.66788,16597.85005
132000,0.05,49.7,50.35,1.5,-1.5,15034.74812,16894.73037
134000,0.05,49.25,51.05,3.64,-3.64,14963.21571,16678.57836
136000,0.05,48.5,51.7,2.39,-2.39,14787.61363,16703.41689
138000,0.05,49.55,50.45,-1.34,1.34,14847.35042,16515.56499
140000,0.05,50.7,49.45,-1.19,1.19,14492.3595,16216.71536
142000,0.05,49.6,50.5,0.46,-0.46,14602.95454,16313.90452
144000,0.05,51.5,48.6,-1.21,1.21,14572.62998,16684.51353
146000,0.05,52.4,47.7,-1.08,1.08,14529.55225,16646.46054
148000,0.05,50.85,49.25,-0.63,0.63,14656.0657,16973.18525
150000,0.05,60.25,40.1,4.0,-4.0,14768.68731,17268.80529
